
Log started on 2024-11-30 14:14:13.257298
════════════════════════════════════════════════════════════════════════════════
Starting TCP Port Scan
────────────────────────────────────────────────────────────────────────────────
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:173
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:174
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:175
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:176
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:177
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:178
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:179
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:180
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:181
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:182
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:183
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:184
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:185
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:186
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:187
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:188
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:189
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:190
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:191
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:192
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:193
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:194
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:195
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:196
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:197
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:198
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:199
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:200
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:201
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:202
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:203
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:204
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:205
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:206
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:207
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:208
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:209
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:210
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:211
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:212
[DEBUG] [2024-11-30 14:14:05] Scanning 127.0.0.1:213
